Consumer Group code;Consumer Group name;Remarks
U00039;U00039;
U00040;U00040;
U00041;U00041;
U00042;U00042;
U00043;U00043;
U00044;U00044;
U00045;U00045;
U00046;U00046;
;U00047;
U00048;U00048;
U00049;U00049;
U00050;U00050;
U00051;U00051;
U00052;;
U00053;U00053;
U00054;U00054;
;U00055;
U00056;U00056;
U00039;U00039;
U00040;U00040;
U00041;U00041;
U00042;U00042;
U00043;U00043;
U00044;U00044;
U00045;U00045;
U00046;U00046;
;U00047;
U00048;U00048;
U00049;U00049;
U00050;U00050;
U00051;U00051;
U00052;;
U00053;U00053;
U00054;U00054;
;U00055;
U00056;U00056;
U00039;U00039;
U00040;U00040;
U00041;U00041;
U00042;U00042;
U00043;U00043;
U00044;U00044;
U00045;U00045;
U00046;U00046;
;U00047;
U00048;U00048;
U00049;U00049;
U00050;U00050;
U00051;U00051;
U00052;;
U00053;U00053;
U00054;U00054;
;U00055;
U00056;U00056;
U00039;U00039;
U00040;U00040;
U00041;U00041;
U00042;U00042;
U00043;U00043;
U00044;U00044;
U00045;U00045;
U00046;U00046;
;U00047;
U00048;U00048;
U00049;U00049;
U00050;U00050;
U00051;U00051;
U00052;;
U00053;U00053;
U00054;U00054;
;U00055;
U00056;U00056;
U00039;U00039;
U00040;U00040;
U00041;U00041;
U00042;U00042;
U00043;U00043;
U00044;U00044;
U00045;U00045;
U00046;U00046;
;U00047;
U00048;U00048;
U00049;U00049;
U00050;U00050;
U00051;U00051;
U00052;;
U00053;U00053;
U00054;U00054;
;U00055;
U00056;U00056;
